distance,velocity,root
0.1,7.5,88.04615020751953
0.1,7.6,88.01834106445313
0.1,7.7,87.99259185791016
0.1,7.8,87.96890258789063
0.1,7.9,87.94692993164063
0.1,8,87.92633056640625
0.1,8.1,87.9067611694336
0.1,8.2,87.88856506347656
0.1,8.3,87.87139892578125
0.1,8.4,87.85526275634766
0.1,8.5,87.83998489379883
0.1,8.6,87.82539367675781
0.1,8.7,87.81166076660156
0.1,8.8,87.79861450195313
0.1,8.9,87.7862548828125
0.1,9,87.77423858642578
0.1,9.1,87.76290893554688
0.1,9.2,87.75192260742188
0.1,9.3,87.74162292480469
0.1,9.4,87.7316665649414
0.1,9.5,87.72205352783203
0.1,9.6,87.71312713623047
0.1,9.7,87.7042007446289
0.1,9.8,87.69561767578125
0.1,9.9,87.6877212524414
0.1,10,87.67982482910156
0.1,10.1,87.67227172851563
0.1,10.2,87.6650619506836
0.1,10.3,87.65819549560547
0.1,10.4,87.65132904052734
0.1,10.5,87.64480590820313
0.1,10.6,87.63862609863281
0.1,10.7,87.6324462890625
0.1,10.8,87.6266098022461
0.1,10.9,87.62094497680664
0.1,11,87.61545181274414
0.1,11.1,87.6101303100586
0.1,11.2,87.60498046875
0.1,11.3,87.60017395019531
0.1,11.4,87.59536743164063
0.1,11.5,87.59038925170898
0.1,11.6,87.58609771728516
0.1,11.7,87.58146286010742
0.1,11.8,87.5771713256836
0.1,11.9,87.57305145263672
0.1,12,87.5691032409668
0.1,12.1,87.56515502929688
0.1,12.2,87.5613784790039
0.1,12.3,87.55760192871094
0.1,12.4,87.55382537841797
0.1,12.5,87.5503921508789
0.2,7.5,86.10466003417969
0.2,7.6,86.04904174804688
0.2,7.7,85.99754333496094
0.2,7.8,85.94982147216797
0.2,7.9,85.90553283691406
0.2,8,85.8636474609375
0.2,8.1,85.8251953125
0.2,8.2,85.78811645507813
0.2,8.3,85.7537841796875
0.2,8.4,85.72151184082031
0.2,8.5,85.69061279296875
0.2,8.6,85.66143035888672
0.2,8.7,85.63362121582031
0.2,8.8,85.60752868652344
0.2,8.9,85.58212280273438
0.2,9,85.55843353271484
0.2,9.1,85.53543090820313
0.2,9.2,85.51414489746094
0.2,9.3,85.49285888671875
0.2,9.4,85.47294616699219
0.2,9.5,85.45372009277344
0.2,9.6,85.4355239868164
0.2,9.7,85.41801452636719
0.2,9.8,85.40084838867188
0.2,9.9,85.38471221923828
0.2,10,85.3692626953125
0.2,10.1,85.35415649414063
0.2,10.2,85.33939361572266
0.2,10.3,85.3253173828125
0.2,10.4,85.31158447265625
0.2,10.5,85.29853820800781
0.2,10.6,85.28617858886719
0.2,10.7,85.27416229248047
0.2,10.8,85.26214599609375
0.2,10.9,85.25081634521484
0.2,11,85.24017333984375
0.2,11.1,85.22918701171875
0.2,11.2,85.21888732910156
0.2,11.3,85.20893096923828
0.2,11.4,85.198974609375
0.2,11.5,85.18970489501953
0.2,11.6,85.18077850341797
0.2,11.7,85.1718521118164
0.2,11.8,85.16326904296875
0.2,11.9,85.155029296875
0.2,12,85.14678955078125
0.2,12.1,85.1388931274414
0.2,12.2,85.13099670410156
0.2,12.3,85.12413024902344
0.2,12.4,85.1165771484375
0.2,12.5,85.10936737060547
0.3,7.5,84.18891906738281
0.3,7.6,84.10446166992188
0.3,7.7,84.02618408203125
0.3,7.8,83.95408630371094
0.3,7.9,83.88748168945313
0.3,8,83.82431030273438
0.3,8.1,83.76594543457031
0.3,8.2,83.7103271484375
0.3,8.3,83.65882873535156
0.3,8.4,83.60939025878906
0.3,8.5,83.56338500976563
0.3,8.6,83.51943969726563
0.3,8.7,83.47755432128906
0.3,8.8,83.43772888183594
0.3,8.9,83.39996337890625
0.3,9,83.3642578125
0.3,9.1,83.32992553710938
0.3,9.2,83.29696655273438
0.3,9.3,83.265380859375
0.3,9.4,83.23516845703125
0.3,9.5,83.20667266845703
0.3,9.6,83.17886352539063
0.3,9.7,83.15277099609375
0.3,9.8,83.12667846679688
0.3,9.9,83.10264587402344
0.3,10,83.07861328125
0.3,10.1,83.0562973022461
0.3,10.2,83.03398132324219
0.3,10.3,83.01338195800781
0.3,10.4,82.99278259277344
0.3,10.5,82.97286987304688
0.3,10.6,82.95433044433594
0.3,10.7,82.93647766113281
0.3,10.8,82.91828155517578
0.3,10.9,82.90145874023438
0.3,11,82.88429260253906
0.3,11.1,82.86849975585938
0.3,11.2,82.85270690917969
0.3,11.3,82.83828735351563
0.3,11.4,82.82318115234375
0.3,11.5,82.8094482421875
0.3,11.6,82.79571533203125
0.3,11.7,82.781982421875
0.3,11.8,82.76962280273438
0.3,11.9,82.75657653808594
0.3,12,82.74421691894531
0.3,12.1,82.7325439453125
0.3,12.2,82.72087097167969
0.3,12.3,82.70988464355469
0.3,12.4,82.6995849609375
0.3,12.5,82.6885986328125
0.4,7.5,82.31094360351563
0.4,7.6,82.19627380371094
0.4,7.7,82.09121704101563
0.4,7.8,81.99440002441406
0.4,7.9,81.90376281738281
0.4,8,81.81930541992188
0.4,8.1,81.74102783203125
0.4,8.2,81.6668701171875
0.4,8.3,81.59683227539063
0.4,8.4,81.53091430664063
0.4,8.5,81.4691162109375
0.4,8.6,81.41006469726563
0.4,8.7,81.353759765625
0.4,8.8,81.30157470703125
0.4,8.9,81.25076293945313
0.4,9,81.20269775390625
0.4,9.1,81.156005859375
0.4,9.2,81.112060546875
0.4,9.3,81.07017517089844
0.4,9.4,81.0296630859375
0.4,9.5,80.9912109375
0.4,9.6,80.95481872558594
0.4,9.7,80.91842651367188
0.4,9.8,80.88546752929688
0.4,9.9,80.85182189941406
0.4,10,80.8209228515625
0.4,10.1,80.79002380371094
0.4,10.2,80.760498046875
0.4,10.3,80.7330322265625
0.4,10.4,80.70556640625
0.4,10.5,80.67947387695313
0.4,10.6,80.65338134765625
0.4,10.7,80.62934875488281
0.4,10.8,80.60531616210938
0.4,10.9,80.58334350585938
0.4,11,80.55999755859375
0.4,11.1,80.53939819335938
0.4,11.2,80.518798828125
0.4,11.3,80.49819946289063
0.4,11.4,80.47897338867188
0.4,11.5,80.45974731445313
0.4,11.6,80.44189453125
0.4,11.7,80.42404174804688
0.4,11.8,80.40618896484375
0.4,11.9,80.38970947265625
0.4,12,80.37322998046875
0.4,12.1,80.35812377929688
0.4,12.2,80.34164428710938
0.4,12.3,80.32722473144531
0.4,12.4,80.31280517578125
0.4,12.5,80.29769897460938
0.5,7.5,80.4803466796875
0.5,7.6,80.33615112304688
0.5,7.7,80.20294189453125
0.5,7.8,80.08071899414063
0.5,7.9,79.96673583984375
0.5,8,79.859619140625
0.5,8.1,79.7607421875
0.5,8.2,79.6673583984375
0.5,8.3,79.5794677734375
0.5,8.4,79.4970703125
0.5,8.5,79.41879272460938
0.5,8.6,79.34463500976563
0.5,8.7,79.27459716796875
0.5,8.8,79.20730590820313
0.5,8.9,79.14413452148438
0.5,9,79.08370971679688
0.5,9.1,79.02534484863281
0.5,9.2,78.9697265625
0.5,9.3,78.91754150390625
0.5,9.4,78.86672973632813
0.5,9.5,78.81866455078125
0.5,9.6,78.77197265625
0.5,9.7,78.72802734375
0.5,9.8,78.68476867675781
0.5,9.9,78.64425659179688
0.5,10,78.60443115234375
0.5,10.1,78.56597900390625
0.5,10.2,78.52890014648438
0.5,10.3,78.49456787109375
0.5,10.4,78.45954895019531
0.5,10.5,78.4259033203125
0.5,10.6,78.39500427246094
0.5,10.7,78.36410522460938
0.5,10.8,78.33526611328125
0.5,10.9,78.30574035644531
0.5,11,78.277587890625
0.5,11.1,78.25149536132813
0.5,11.2,78.22540283203125
0.5,11.3,78.20068359375
0.5,11.4,78.17459106445313
0.5,11.5,78.15193176269531
0.5,11.6,78.12858581542969
0.5,11.7,78.10661315917969
0.5,11.8,78.08395385742188
0.5,11.9,78.0633544921875
0.5,12,78.04275512695313
0.5,12.1,78.02352905273438
0.5,12.2,78.00430297851563
0.5,12.3,77.98507690429688
0.5,12.4,77.96722412109375
0.5,12.5,77.94937133789063
0.6,7.5,78.70880126953125
0.6,7.6,78.53302001953125
0.6,7.7,78.3709716796875
0.6,7.8,78.22265625
0.6,7.9,78.08395385742188
0.6,8,77.95486450195313
0.6,8.1,77.83538818359375
0.6,8.2,77.72140502929688
0.6,8.3,77.61566162109375
0.6,8.4,77.51541137695313
0.6,8.5,77.420654296875
0.6,8.6,77.33139038085938
0.6,8.7,77.24624633789063
0.6,8.8,77.16659545898438
0.6,8.9,77.08969116210938
0.6,9,77.01622009277344
0.6,9.1,76.94686889648438
0.6,9.2,76.88026428222656
0.6,9.3,76.81640625
0.6,9.4,76.7559814453125
0.6,9.5,76.69692993164063
0.6,9.6,76.640625
0.6,9.7,76.58843994140625
0.6,9.8,76.5362548828125
0.6,9.9,76.48681640625
0.6,10,76.4373779296875
0.6,10.1,76.3934326171875
0.6,10.2,76.34811401367188
0.6,10.3,76.3055419921875
0.6,10.4,76.26502990722656
0.6,10.5,76.22589111328125
0.6,10.6,76.18675231933594
0.6,10.7,76.14898681640625
0.6,10.8,76.11328125
0.6,10.9,76.07894897460938
0.6,11,76.04598999023438
0.6,11.1,76.01303100585938
0.6,11.2,75.98213195800781
0.6,11.3,75.95123291015625
0.6,11.4,75.92239379882813
0.6,11.5,75.8935546875
0.6,11.6,75.8660888671875
0.6,11.7,75.83999633789063
0.6,11.8,75.81390380859375
0.6,11.9,75.78781127929688
0.6,12,75.76446533203125
0.6,12.1,75.73974609375
0.6,12.2,75.71640014648438
0.6,12.3,75.69442749023438
0.6,12.4,75.67108154296875
0.6,12.5,75.65048217773438
0.7,7.5,77.00454711914063
0.7,7.6,76.79580688476563
0.7,7.7,76.60491943359375
0.7,7.8,76.42913818359375
0.7,7.9,76.26571655273438
0.7,8,76.11328125
0.7,8.1,75.970458984375
0.7,8.2,75.838623046875
0.7,8.3,75.71365356445313
0.7,8.4,75.59555053710938
0.7,8.5,75.48431396484375
0.7,8.6,75.37994384765625
0.7,8.7,75.27969360351563
0.7,8.8,75.1849365234375
0.7,8.9,75.09567260742188
0.7,9,75.0091552734375
0.7,9.1,74.9267578125
0.7,9.2,74.849853515625
0.7,9.3,74.77569580078125
0.7,9.4,74.70428466796875
0.7,9.5,74.6356201171875
0.7,9.6,74.5697021484375
0.7,9.7,74.50653076171875
0.7,9.8,74.44610595703125
0.7,9.9,74.388427734375
0.7,10,74.33212280273438
0.7,10.1,74.278564453125
0.7,10.2,74.22637939453125
0.7,10.3,74.17694091796875
0.7,10.4,74.12750244140625
0.7,10.5,74.08218383789063
0.7,10.6,74.03823852539063
0.7,10.7,73.992919921875
0.7,10.8,73.95172119140625
0.7,10.9,73.91189575195313
0.7,11,73.8720703125
0.7,11.1,73.83499145507813
0.7,11.2,73.79791259765625
0.7,11.3,73.76220703125
0.7,11.4,73.729248046875
0.7,11.5,73.69354248046875
0.7,11.6,73.66195678710938
0.7,11.7,73.63037109375
0.7,11.8,73.60015869140625
0.7,11.9,73.5699462890625
0.7,12,73.54110717773438
0.7,12.1,73.51364135742188
0.7,12.2,73.48617553710938
0.7,12.3,73.4600830078125
0.7,12.4,73.43399047851563
0.7,12.5,73.40927124023438
0.8,7.5,75.377197265625
0.8,7.6,75.13275146484375
0.8,7.7,74.9102783203125
0.8,7.8,74.70703125
0.8,7.9,74.51751708984375
0.8,8,74.34173583984375
0.8,8.1,74.17831420898438
0.8,8.2,74.02587890625
0.8,8.3,73.88031005859375
0.8,8.4,73.7457275390625
0.8,8.5,73.61663818359375
0.8,8.6,73.49578857421875
0.8,8.7,73.38043212890625
0.8,8.8,73.27194213867188
0.8,8.9,73.1689453125
0.8,9,73.070068359375
0.8,9.1,72.97531127929688
0.8,9.2,72.88604736328125
0.8,9.3,72.8009033203125
0.8,9.4,72.718505859375
0.8,9.5,72.63885498046875
0.8,9.6,72.564697265625
0.8,9.7,72.49191284179688
0.8,9.8,72.421875
0.8,9.9,72.35595703125
0.8,10,72.29141235351563
0.8,10.1,72.2296142578125
0.8,10.2,72.17056274414063
0.8,10.3,72.11288452148438
0.8,10.4,72.05795288085938
0.8,10.5,72.00439453125
0.8,10.6,71.95220947265625
0.8,10.7,71.90277099609375
0.8,10.8,71.8560791015625
0.8,10.9,71.80938720703125
0.8,11,71.76406860351563
0.8,11.1,71.72149658203125
0.8,11.2,71.67892456054688
0.8,11.3,71.63772583007813
0.8,11.4,71.59927368164063
0.8,11.5,71.5594482421875
0.8,11.6,71.52236938476563
0.8,11.7,71.488037109375
0.8,11.8,71.45233154296875
0.8,11.9,71.41799926757813
0.8,12,71.3836669921875
0.8,12.1,71.35345458984375
0.8,12.2,71.32049560546875
0.8,12.3,71.290283203125
0.8,12.4,71.26144409179688
0.8,12.5,71.23260498046875
0.9,7.5,73.83087158203125
0.9,7.6,73.553466796875
0.9,7.7,73.29803466796875
0.9,7.8,73.0645751953125
0.9,7.9,72.84759521484375
0.9,8,72.6470947265625
0.9,8.1,72.4603271484375
0.9,8.2,72.28729248046875
0.9,8.3,72.12249755859375
0.9,8.4,71.96868896484375
0.9,8.5,71.8231201171875
0.9,8.6,71.685791015625
0.9,8.7,71.55532836914063
0.9,8.8,71.43310546875
0.9,8.9,71.31500244140625
0.9,9,71.202392578125
0.9,9.1,71.09664916992188
0.9,9.2,70.99502563476563
0.9,9.3,70.89752197265625
0.9,9.4,70.80413818359375
0.9,9.5,70.71624755859375
0.9,9.6,70.631103515625
0.9,9.7,70.5487060546875
0.9,9.8,70.47042846679688
0.9,9.9,70.3948974609375
0.9,10,70.323486328125
0.9,10.1,70.2520751953125
0.9,10.2,70.1861572265625
0.9,10.3,70.1202392578125
0.9,10.4,70.05706787109375
0.9,10.5,69.9993896484375
0.9,10.6,69.93896484375
0.9,10.7,69.884033203125
0.9,10.8,69.83047485351563
0.9,10.9,69.77691650390625
0.9,11,69.72747802734375
0.9,11.1,69.67666625976563
0.9,11.2,69.62997436523438
0.9,11.3,69.58465576171875
0.9,11.4,69.53933715820313
0.9,11.5,69.49539184570313
0.9,11.6,69.45556640625
0.9,11.7,69.41436767578125
0.9,11.8,69.37454223632813
0.9,11.9,69.334716796875
0.9,12,69.29901123046875
0.9,12.1,69.26193237304688
0.9,12.2,69.22760009765625
0.9,12.3,69.19326782226563
0.9,12.4,69.158935546875
0.9,12.5,69.12734985351563
1,7.5,72.3779296875
1,7.6,72.059326171875
1,7.7,71.77093505859375
1,7.8,71.5045166015625
1,7.9,71.2628173828125
1,8,71.03622436523438
1,8.1,70.82611083984375
1,8.2,70.62835693359375
1,8.3,70.4443359375
1,8.4,70.27130126953125
1,8.5,70.1092529296875
1,8.6,69.95407104492188
1,8.7,69.80850219726563
1,8.8,69.6697998046875
1,8.9,69.5379638671875
1,9,69.41299438476563
1,9.1,69.29351806640625
1,9.2,69.180908203125
1,9.3,69.071044921875
1,9.4,68.9666748046875
1,9.5,68.8677978515625
1,9.6,68.77304077148438
1,9.7,68.6810302734375
1,9.8,68.5931396484375
1,9.9,68.5107421875
1,10,68.4283447265625
1,10.1,68.3514404296875
1,10.2,68.27590942382813
1,10.3,68.203125
1,10.4,68.13446044921875
1,10.5,68.0657958984375
1,10.6,68.00262451171875
1,10.7,67.939453125
1,10.8,67.8790283203125
1,10.9,67.82135009765625
1,11,67.763671875
1,11.1,67.708740234375
1,11.2,67.65655517578125
1,11.3,67.60574340820313
1,11.4,67.554931640625
1,11.5,67.50686645507813
1,11.6,67.46017456054688
1,11.7,67.41485595703125
1,11.8,67.37091064453125
1,11.9,67.32696533203125
1,12,67.28713989257813
1,12.1,67.247314453125
1,12.2,67.2088623046875
1,12.3,67.16903686523438
1,12.4,67.1319580078125
1,12.5,67.09625244140625
1.1,7.5,71.01837158203125
1.1,7.6,70.6585693359375
1.1,7.7,70.33172607421875
1.1,7.8,70.03509521484375
1.1,7.9,69.76181030273438
1.1,8,69.50912475585938
1.1,8.1,69.2742919921875
1.1,8.2,69.0545654296875
1.1,8.3,68.84994506835938
1.1,8.4,68.65631103515625
1.1,8.5,68.47503662109375
1.1,8.6,68.30474853515625
1.1,8.7,68.1427001953125
1.1,8.8,67.9888916015625
1.1,8.9,67.84332275390625
1.1,9,67.7032470703125
1.1,9.1,67.5714111328125
1.1,9.2,67.445068359375
1.1,9.3,67.32421875
1.1,9.4,67.21023559570313
1.1,9.5,67.10037231445313
1.1,9.6,66.99462890625
1.1,9.7,66.89300537109375
1.1,9.8,66.796875
1.1,9.9,66.7034912109375
1.1,10,66.61422729492188
1.1,10.1,66.5277099609375
1.1,10.2,66.4453125
1.1,10.3,66.36566162109375
1.1,10.4,66.28875732421875
1.1,10.5,66.214599609375
1.1,10.6,66.1431884765625
1.1,10.7,66.07315063476563
1.1,10.8,66.005859375
1.1,10.9,65.94131469726563
1.1,11,65.8795166015625
1.1,11.1,65.819091796875
1.1,11.2,65.76004028320313
1.1,11.3,65.7037353515625
1.1,11.4,65.6488037109375
1.1,11.5,65.59661865234375
1.1,11.6,65.54443359375
1.1,11.7,65.4949951171875
1.1,11.8,65.445556640625
1.1,11.9,65.39886474609375
1.1,12,65.3521728515625
1.1,12.1,65.3082275390625
1.1,12.2,65.2642822265625
1.1,12.3,65.22308349609375
1.1,12.4,65.181884765625
1.1,12.5,65.14068603515625
1.2,7.5,69.7576904296875
1.2,7.6,69.3511962890625
1.2,7.7,68.9886474609375
1.2,7.8,68.65631103515625
1.2,7.9,68.3514404296875
1.2,8,68.0712890625
1.2,8.1,67.81036376953125
1.2,8.2,67.56866455078125
1.2,8.3,67.3406982421875
1.2,8.4,67.12921142578125
1.2,8.5,66.9287109375
1.2,8.6,66.73919677734375
1.2,8.7,66.5606689453125
1.2,8.8,66.390380859375
1.2,8.9,66.2310791015625
1.2,9,66.0772705078125
1.2,9.1,65.93170166015625
1.2,9.2,65.79437255859375
1.2,9.3,65.6597900390625
1.2,9.4,65.533447265625
1.2,9.5,65.41397094726563
1.2,9.6,65.2972412109375
1.2,9.7,65.1873779296875
1.2,9.8,65.08026123046875
1.2,9.9,64.9786376953125
1.2,10,64.8797607421875
1.2,10.1,64.786376953125
1.2,10.2,64.69573974609375
1.2,10.3,64.60784912109375
1.2,10.4,64.522705078125
1.2,10.5,64.44168090820313
1.2,10.6,64.3634033203125
1.2,10.7,64.2864990234375
1.2,10.8,64.215087890625
1.2,10.9,64.1436767578125
1.2,11,64.07501220703125
1.2,11.1,64.00909423828125
